"transformation_type","input_items","output_items","metadata"
"bartering","[""Gold Ingot""]","[""Enchanted Book""]","{}"
"bartering","[""Gold Ingot""]","[""Iron Boots""]","{}"
"bartering","[""Gold Ingot""]","[""Potion""]","{}"
"bartering","[""Gold Ingot""]","[""Dried Ghast""]","{}"
"bartering","[""Gold Ingot""]","[""Iron Nugget""]","{}"
"bartering","[""Gold Ingot""]","[""Ender Pearl""]","{}"
"bartering","[""Gold Ingot""]","[""String""]","{}"
"bartering","[""Gold Ingot""]","[""Nether Quartz""]","{}"
"bartering","[""Gold Ingot""]","[""Obsidian""]","{}"
"bartering","[""Gold Ingot""]","[""Fire Charge""]","{}"
"bartering","[""Gold Ingot""]","[""Crying Obsidian""]","{}"
"bartering","[""Gold Ingot""]","[""Leather""]","{}"
"bartering","[""Gold Ingot""]","[""Soul Sand""]","{}"
"bartering","[""Gold Ingot""]","[""Nether Brick""]","{}"
"bartering","[""Gold Ingot""]","[""Spectral Arrow""]","{}"
"bartering","[""Gold Ingot""]","[""Gravel""]","{}"
"bartering","[""Gold Ingot""]","[""Blackstone""]","{}"
"brewing","[""Nether Wart""]","[""Potion""]","{}"
"brewing","[""Cobweb"", ""Rabbit's Foot"", ""Spider Eye"", ""Breeze Rod"", ""Sugar"", ""Ghast Tear"", ""Redstone Dust"", ""Stone"", ""Slime Block"", ""Magma Cream"", ""Glistering Melon Slice"", ""Blaze Powder""]","[""Potion""]","{}"
"brewing","[""Glowstone Dust""]","[""Potion""]","{}"
"brewing","[""Glistering Melon Slice""]","[""Potion""]","{}"
"brewing","[""Magma Cream""]","[""Potion""]","{}"
"brewing","[""Ghast Tear""]","[""Potion""]","{}"
"brewing","[""Blaze Powder""]","[""Potion""]","{}"
"brewing","[""Sugar""]","[""Potion""]","{}"
"brewing","[""Golden Carrot""]","[""Potion""]","{}"
"brewing","[""Fermented Spider Eye""]","[""Potion""]","{}"
"brewing","[""Pufferfish""]","[""Potion""]","{}"
"brewing","[""Rabbit's Foot""]","[""Potion""]","{}"
"brewing","[""Phantom Membrane""]","[""Potion""]","{}"
"brewing","[""Spider Eye""]","[""Potion""]","{}"
"brewing","[""Slime Block""]","[""Potion""]","{}"
"brewing","[""Cobweb""]","[""Potion""]","{}"
"brewing","[""Stone""]","[""Potion""]","{}"
